name,videoProgramId
1024syv Nats Eventyr,8879419
24 Mord,8986764
24 Spørgsmål til Professoren,13973671
24syv Dokumentar,3887302
24syv Eftermiddag,3843755
24syv Højtidernes Morgen,4821273
24syv Jul,7489238
24syv Media Night,7769327
24syv Morgen,3843763
24syv Nyheder,3561248
24syv Specials,12664475
24syv Weekend,10107693
3. Planet fra Solen,4023677
55 minutter,16512232
Aflyttet,4466232
Agurketid,10027454
AK 24syv,3843145
AK 24syv Musik,5011213
All Inclusive,18857661
Annejagt,12144547
Annejagt - sammendrag,13797510
Antidemokratisk Festival,9970295
Anti-terrorlove,8660662
Året 2013,9018875
Året 2014,10734591
Årsrevy 2015,12540513
Årsrevy 2016,15168139
Årsrevy20tolv,7467529
Asfalt-Bal FM,8219466
Avislæserne,9778464
Aydin & Fædregruppen,6592326
Bæltestedet,8741566
Bagfra med Gustav,8421423
Bearnaise er Dyrenes Konge,9889736
Bedste Fjender For Evigt,17935704
Bevidsthedsfeltet,16618054
Bikinilinjen,11771942
Bilradio,7209744
Bjarne Corydons Verden,9706254
Bom og Bjerke,3786960
Bugges Verden,18754902
Bureauet for Afvist Litteratur,8644434
Carsten Jensen i krig,6572418
Cavling Komiteen,9265836
Center For Vild Analyse,4024488
Comedyklubben Smiling Table,17937958
Comedyklubben Smiling Table - sammendrag,18251513
Cordua & Steno,3843419
Cordua & Steno - sammendrag,13797369
Croque Monsieur,11929746
Dagens Trump,15731069
Damernes Magazine,8405756
Danmarks Röst,9874462
Datolinjen,4945795
De 6 Hatte,3843764
De Lange Nisser,12540521
De Tunge Nisser,10734701
Den allerførste gang,10023204
Den bedste tid,10537990
Den Brændende Mand,11769603
Den Korte Weekendavis,10839671
Den Nye Verdensorden,6658788
Den Store Roman,3787362
Det amerikanske præsidentvalg,6952738
Det Næste Kapitel,12132345
Det Røde Felt,8373634
Det Røde Felt - sammendrag,13788245
"Det, vi ikke taler om",11614839
"Det, vi taler om",10327258
Din Kamp,17935763
Djævelen i Karla Strauss,12481610
Dødsruten,9970270
Du må kalde mig Mads Holger,8412902
Efter Otte,8633895
Elektronista,3843152
EM '92 – Vandbærerne,17586485
En anden verden,13936340
Engle og Dæmoner,9705745
Er Du Sunshine?,13967997
Et Dyreliv,10518117
Et Kokkeliv Ekstra,14622401
EU - Kontinentet vælger,9829655
Europa - Resultatet,9865298
Europa i Flammer,4643454
F35 - Danmarks Nye Kampfly,15329319
Farveblind,17972295
Fedeabes Fyraften,16512250
Finnsk Terapi,10685650
Finskytterne,10274655
Fisketegn,16861108
Fitness M/K,11777621
Flaskens Ånd,3843405
Fodbold FM,3843776
Forældreintra,13973585
Forældreintra - highlights,13973585
Forfra med Jeppesen,4017057
Fra Rusland med Kærlighed,11778040
Frank Aaen Arkivet,11922050
Genialos,4184863
Globus,3778761
Globus Hotel,9969686
Globus Mellemøsten,10383350
Globus Rusland,3843760
Globus USA,3843757
Go' Middadag Danmark,17135506
Guderadio,9704374
Halløj i Betalingsringen,3843257
Hash-Danmark,9704383
Hipster Glistrup,17934992
